enfrenta_dificuldades_para_manter_atividade_produtiva_e_o_atendimento_domestico_em_virtude_de_escass,municipio_ibge,regional
Não,Paraíso do Tocantins,Paraiso
"Sim, julho a novembro",Carmolândia,Araguína
"Sim, julho a novembro",Almas,Taguatinga do Tocantins
Não,Esperantina,Araguatins
"Sim, julho a novembro",Piraquê,Araguína
Não,Palmeiras do Tocantins,Araguatins
Não,Wanderlândia,Araguína
Não,Palmas,Porto Nacional
Não,Miracema do Tocantins,Miracema
Não,Palmeiras do Tocantins,Araguatins
"Sim, julho a novembro",Xambioá,Araguína
Não,Peixe,Gurupi
Não,Rio da Conceição,Taguatinga do Tocantins
Não,Araguaína,Araguína
Não,Filadélfia,Araguína
Não,Filadélfia,Araguína
"Sim, julho a novembro",Chapada de Areia,Paraiso
Não,Rio da Conceição,Taguatinga do Tocantins
Não,São Miguel do Tocantins,Araguatins
Não,Palmeiras do Tocantins,Araguatins
"Sim, julho a novembro",Xambioá,Araguína
Não,Filadélfia,Araguína
Não,Dianópolis,Taguatinga do Tocantins
Não,Aguiarnópolis,Araguatins
Não,Tocantínia,Miracema
Não,Chapada de Areia,Paraiso
Não,Rio dos Bois,Miracema
Não,Araguaína,Araguína
Não,Palmeiras do Tocantins,Araguatins
Não,Palmeiras do Tocantins,Araguatins
Não,Fortaleza do Tabocão,Miracema
"Sim, julho a novembro",Palmeiras do Tocantins,Araguatins
Não,Araguaína,Araguína
"Sim, julho a novembro",Gurupi,Gurupi
Não,Guaraí,Colinas
Não,Guaraí,Colinas
FALTA DE ENERGIA PARA DISTRIBUIÇÃO DE AGUA MECANIZADA,Dianópolis,Taguatinga do Tocantins
"Sim, julho a novembro",Pium,Paraiso
Não,dois Irmãos do Tocantins,Paraiso
"Sim, julho a novembro",Aragominas,Araguína
Não,Filadélfia,Araguína
Não,Pedro Afonso,Miracema
Não,Wanderlândia,Araguína
Não,Xambioá,Araguína
Não,Filadélfia,Araguína
Não,Ananás,Araguatins
Não,Luzinópolis,Araguatins
"Sim, julho a novembro",Almas,Taguatinga do Tocantins
Não,Luzinópolis,Araguatins
Não,Paranã,Taguatinga do Tocantins
Não,Filadélfia,Araguína
"Sim, julho a novembro",Cristalândia,Paraiso
Não,Pium,Paraiso
"Sim, julho a novembro",Palmas,Porto Nacional
"Sim, o ano todo",Esperantina,Araguatins
Não,Miranorte,Miracema
"Sim, julho a novembro",Gurupi,Gurupi
Não,Ananás,Araguatins
Não,Miranorte,Miracema
Não,Monte do Carmo,Porto Nacional
"Sim, julho a novembro",Almas,Taguatinga do Tocantins
"Sim, julho a novembro",Gurupi,Gurupi
"Sim, julho a novembro",Monte do Carmo,Porto Nacional
"Sim, o ano todo",Araguaína,Araguína
Não,Angico,Araguatins
"Sim, julho a novembro",Pium,Paraiso
"Sim, julho a novembro",Nova Olinda,Araguína
"Sim, julho a novembro",Babaçulândia,Araguína
"Sim, julho a novembro",Carmolândia,Araguína
"Sim, julho a novembro",Dianópolis,Taguatinga do Tocantins
Não,Santa Maria do Tocantins,Miracema
Não,Paraíso do Tocantins,Paraiso
"Sim, julho a novembro",Paranã,Taguatinga do Tocantins
Não,Paraíso do Tocantins,Paraiso
Não,Piraquê,Araguína
Não,Nova Olinda,Araguína
Não,Nova Olinda,Araguína
Não,Porto Nacional,Porto Nacional
Não,Araguatins,Araguatins
Não,Filadélfia,Araguína
"Sim, julho a novembro",Araguaçu,Gurupi
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
"Sim, julho a novembro",Xambioá,Araguína
Não,Palmeiras do Tocantins,Araguatins
Não,Itaguatins,Araguatins
"Sim, julho a novembro",Miracema do Tocantins,Miracema
Não,Tocantínia,Miracema
Não,Aliança do Tocantins,Gurupi
Não,Palmas,Porto Nacional
Não,Axixá do Tocantins,Araguatins
Não,Axixá do Tocantins,Araguatins
Não,Aragominas,Araguína
"Sim, julho a novembro",Araguanã,Araguína
"Sim, julho a novembro",Paraíso do Tocantins,Paraiso
Não,Marianópolis do Tocantins,Paraiso
"Sim, julho a novembro",Miranorte,Miracema
Não,Jaú do Tocantins,Gurupi
"Sim, julho a novembro",Axixá do Tocantins,Araguatins
"Sim, julho a novembro",Araguanã,Araguína
"Sim, julho a novembro",Miranorte,Miracema
Não,Axixá do Tocantins,Araguatins
"Sim, julho a novembro",Sítio Novo do Tocantins,Araguatins
Não,Caseara,Paraiso
Não,Axixá do Tocantins,Araguatins
Não,Jaú do Tocantins,Gurupi
Não,Miranorte,Miracema
"Sim, julho a novembro",Araguanã,Araguína
Não,Miranorte,Miracema
Não,Axixá do Tocantins,Araguatins
"Sim, julho a novembro",Guaraí,Colinas
Não,Filadélfia,Araguína
Não,Guaraí,Colinas
"Sim, julho a novembro",Xambioá,Araguína
"Sim, julho a novembro",Palmeiras do Tocantins,Araguatins
Não,Xambioá,Araguína
Não,Aliança do Tocantins,Gurupi
Não,Xambioá,Araguína
"Sim, julho a novembro",Xambioá,Araguína
Não,Xambioá,Araguína
Não,Itaguatins,Araguatins
"Sim, julho a novembro",Axixá do Tocantins,Araguatins
Não,Jaú do Tocantins,Gurupi
"Sim, julho a novembro",Guaraí,Colinas
Não,Palmeirópolis,Gurupi
Não,Aragominas,Araguína
Não,Lajeado,Porto Nacional
Não,Axixá do Tocantins,Araguatins
Não,Jaú do Tocantins,Gurupi
Não,Tocantínia,Miracema
Não,Wanderlândia,Araguína
Não,Filadélfia,Araguína
Não,Sucupira,Gurupi
Não,Miranorte,Miracema
Não,Piraquê,Araguína
Não,Araguaína,Araguína
Não,Piraquê,Araguína
Não,Divinópolis do Tocantins,Paraiso
Não,Miranorte,Miracema
Não,Tocantínia,Miracema
Não,Araguanã,Araguína
"Sim, julho a novembro",Miracema do Tocantins,Miracema
"Sim, julho a novembro",Gurupi,Gurupi
Não,Pium,Paraiso
"Sim, julho a novembro",Gurupi,Gurupi
Não,Filadélfia,Araguína
Não,Araguaína,Araguína
Não,Filadélfia,Araguína
Não,Aragominas,Araguína
"Sim, julho a novembro",Ananás,Araguatins
Não,Palmeirópolis,Gurupi
Não,Xambioá,Araguína
"Sim, julho a novembro",Almas,Taguatinga do Tocantins
Não,Miranorte,Miracema
"Sim, julho a novembro",Carmolândia,Araguína
"Sim, julho a novembro",Dianópolis,Taguatinga do Tocantins
Não,Dueré,Gurupi
"Sim, julho a novembro",Paraíso do Tocantins,Paraiso
Não,Alvorada,Gurupi
Não,Almas,Taguatinga do Tocantins
Não,Axixá do Tocantins,Araguatins
Não,Axixá do Tocantins,Araguatins
Não,Axixá do Tocantins,Araguatins
"Sim, julho a novembro",Paraíso do Tocantins,Paraiso
Não,Pium,Paraiso
"Sim, julho a novembro",Sucupira,Gurupi
Não,Filadélfia,Araguína
"Sim, julho a novembro",Gurupi,Gurupi
"Sim, julho a novembro",Santa Fé do Araguaia,Araguína
Não,Riachinho,Araguatins
Não,Miracema do Tocantins,Miracema
"Sim, julho a novembro",Luzinópolis,Araguatins
Não,Axixá do Tocantins,Araguatins
Não,Miracema do Tocantins,Miracema
Não,Fortaleza do Tabocão,Miracema
"Sim, julho a novembro",Miranorte,Miracema
"Sim, julho a novembro",Sítio Novo do Tocantins,Araguatins
"Sim, julho a novembro",Carmolândia,Araguína
"Sim, julho a novembro",Aragominas,Araguína
Não,Araguanã,Araguína
Não,Aurora do Tocantins,Taguatinga do Tocantins
Não,Paraíso do Tocantins,Paraiso
Não,Marianópolis do Tocantins,Paraiso
Não,Luzinópolis,Araguatins
Não,Axixá do Tocantins,Araguatins
Não,Axixá do Tocantins,Araguatins
Não,Itaporã do Tocantins,Colinas
"Sim, julho a novembro",Chapada de Areia,Paraiso
Não,Divinópolis do Tocantins,Paraiso
"Sim, julho a novembro",Araguanã,Araguína
Não,Axixá do Tocantins,Araguatins
"Sim, julho a novembro",Divinópolis do Tocantins,Paraiso
"Sim, julho a novembro",Xambioá,Araguína
"Sim, julho a novembro",Xambioá,Araguína
Não,Axixá do Tocantins,Araguatins
Não,Xambioá,Araguína
Não,Xambioá,Araguína
Não,dois Irmãos do Tocantins,Paraiso
"Sim, julho a novembro",Chapada de Areia,Paraiso
"Sim, julho a novembro",Goiatins,Araguína
Não,Xambioá,Araguína
"Sim, julho a novembro",Araguanã,Araguína
"Sim, julho a novembro",Araguanã,Araguína
"Sim, julho a novembro",Chapada da Natividade,Porto Nacional
"Sim, julho a novembro",Divinópolis do Tocantins,Paraiso
"Sim, julho a novembro",Chapada da Natividade,Porto Nacional
Não,Araguaína,Araguína
Não,Miranorte,Miracema
Não,Talismã,Gurupi
"Sim, julho a novembro",Chapada de Areia,Paraiso
"Sim, julho a novembro",Chapada da Natividade,Porto Nacional
"Sim, julho a novembro",Lagoa da Confusão,Paraiso
Não,Rio Sono,Miracema
"Sim, julho a novembro",Dianópolis,Taguatinga do Tocantins
Não,Divinópolis do Tocantins,Paraiso
Não,Palmeiras do Tocantins,Araguatins
Não,Divinópolis do Tocantins,Paraiso
"Sim, julho a novembro",Ponte Alta do Bom Jesus,Taguatinga do Tocantins
Não,Paranã,Taguatinga do Tocantins
"Sim, julho a novembro",Chapada da Natividade,Porto Nacional
"Sim, julho a novembro",Chapada da Natividade,Porto Nacional
Não,Divinópolis do Tocantins,Paraiso
Não,Abreulândia,Paraiso
Não,Paranã,Taguatinga do Tocantins
Não,Ponte Alta do Bom Jesus,Taguatinga do Tocantins
Não,Pedro Afonso,Miracema
"Sim, julho a novembro",Alvorada,Gurupi
"Sim, julho a novembro",Almas,Taguatinga do Tocantins
Não,Divinópolis do Tocantins,Paraiso
Não,São Bento do Tocantins,Araguatins
"Sim, julho a novembro",Divinópolis do Tocantins,Paraiso
Não,Bom Jesus do Tocantins,Miracema
"Sim, julho a novembro",Chapada da Natividade,Porto Nacional
"Sim, julho a novembro",Novo Jardim,Taguatinga do Tocantins
Não,Paranã,Taguatinga do Tocantins
Não,Miranorte,Miracema
Não,Paranã,Taguatinga do Tocantins
Não,Ponte Alta do Bom Jesus,Taguatinga do Tocantins
"Sim, julho a novembro",Goiatins,Araguína
Não,Pedro Afonso,Miracema
Não,Santa Terezinha do Tocantins,Araguatins
Não,Alvorada,Gurupi
Não,Guaraí,Colinas
Não,Peixe,Gurupi
Não,Bandeirantes do Tocantins,Colinas
Não,Barrolândia,Paraiso
Não,Paranã,Taguatinga do Tocantins
Não,Alvorada,Gurupi
"Sim, julho a novembro",Santa Rita do Tocantins,Gurupi
Não,Ponte Alta do Bom Jesus,Taguatinga do Tocantins
Não,Guaraí,Colinas
Não,Palmeiras do Tocantins,Araguatins
Não,Guaraí,Colinas
"Sim, julho a novembro",Palmeiras do Tocantins,Araguatins
"Sim, julho a novembro",Paraíso do Tocantins,Paraiso
"Sim, julho a novembro",Novo Jardim,Taguatinga do Tocantins
Não,Paranã,Taguatinga do Tocantins
Não,Rio Sono,Miracema
"Sim, julho a novembro",Ponte Alta do Bom Jesus,Taguatinga do Tocantins
Não,Cariri do Tocantins,Gurupi
Não,Aparecida do Rio Negro,Porto Nacional
Não,Aliança do Tocantins,Gurupi
Não,Ponte Alta do Bom Jesus,Taguatinga do Tocantins
Não,Guaraí,Colinas
Não,dois Irmãos do Tocantins,Paraiso
Não,Pedro Afonso,Miracema
Não,Guaraí,Colinas
"Sim, julho a novembro",Barrolândia,Paraiso
Não,Tocantínia,Miracema
Não,Pedro Afonso,Miracema
Não,Miracema do Tocantins,Miracema
Não,Novo Jardim,Taguatinga do Tocantins
"Sim, julho a novembro",Goiatins,Araguína
"Sim, julho a novembro",Alvorada,Gurupi
Não,Colméia,Colinas
"Sim, julho a novembro",Talismã,Gurupi
Não,Filadélfia,Araguína
"Sim, julho a novembro",Chapada da Natividade,Porto Nacional
"Sim, julho a novembro",Chapada da Natividade,Porto Nacional
"Sim, julho a novembro",Araguanã,Araguína
Não,Talismã,Gurupi
"Sim, julho a novembro",Pium,Paraiso
"Sim, julho a novembro",Silvanópolis,Porto Nacional
Não,Divinópolis do Tocantins,Paraiso
"Sim, julho a novembro",Chapada da Natividade,Porto Nacional
Não,Divinópolis do Tocantins,Paraiso
Não,Pium,Paraiso
Não,Dianópolis,Taguatinga do Tocantins
Não,Axixá do Tocantins,Araguatins
Não,Talismã,Gurupi
Não,Monte Santo do Tocantins,Paraiso
Não,Guaraí,Colinas
"Sim, julho a novembro",Sucupira,Gurupi
Não,Porto Alegre do Tocantins,Taguatinga do Tocantins
"Sim, julho a novembro",Ponte Alta do Bom Jesus,Taguatinga do Tocantins
"Sim, julho a novembro",Divinópolis do Tocantins,Paraiso
"Sim, julho a novembro",Guaraí,Colinas
"Sim, julho a novembro",Chapada de Areia,Paraiso
Não,Paranã,Taguatinga do Tocantins
Não,Dianópolis,Taguatinga do Tocantins
Não,Rio Sono,Miracema
Não,Talismã,Gurupi
"Sim, julho a novembro",Peixe,Gurupi
Não,Divinópolis do Tocantins,Paraiso
"Sim, julho a novembro",Paraíso do Tocantins,Paraiso
"Sim, julho a novembro",Paranã,Taguatinga do Tocantins
"Sim, julho a novembro",Chapada da Natividade,Porto Nacional
Não,Paranã,Taguatinga do Tocantins
Não,Cristalândia,Paraiso
"Sim, julho a novembro",Paranã,Taguatinga do Tocantins
Não,Talismã,Gurupi
Não,Guaraí,Colinas
Não,Santa Fé do Araguaia,Araguína
"Sim, julho a novembro",Palmeiras do Tocantins,Araguatins
"Sim, julho a novembro",Ponte Alta do Bom Jesus,Taguatinga do Tocantins
Não,Ponte Alta do Bom Jesus,Taguatinga do Tocantins
"Sim, julho a novembro",Divinópolis do Tocantins,Paraiso
"Sim, julho a novembro",Goiatins,Araguína
Não,Couto Magalhães,Colinas
Não,Nova Rosalândia,Paraiso
Não,Miranorte,Miracema
"Sim, julho a novembro",Palmeiras do Tocantins,Araguatins
"Sim, julho a novembro",Barrolândia,Paraiso
Não,Guaraí,Colinas
Não,Miracema do Tocantins,Miracema
Não,Divinópolis do Tocantins,Paraiso
Não,Figueirópolis,Gurupi
"Sim, julho a novembro",Pium,Paraiso
"Sim, julho a novembro",Chapada de Areia,Paraiso
"Sim, julho a novembro",Miracema do Tocantins,Miracema
Não,Gurupi,Gurupi
"Sim, julho a novembro",Filadélfia,Araguína
Não,Talismã,Gurupi
Não,Dueré,Gurupi
"Sim, julho a novembro",Filadélfia,Araguína
Não,Cristalândia,Paraiso
Não,Guaraí,Colinas
Não,Miranorte,Miracema
"Sim, julho a novembro",Divinópolis do Tocantins,Paraiso
Não,Paranã,Taguatinga do Tocantins
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
Não,Miracema do Tocantins,Miracema
Não,Divinópolis do Tocantins,Paraiso
Não,Miranorte,Miracema
Não,Peixe,Gurupi
Não,Rio Sono,Miracema
Não,Caseara,Paraiso
"Sim, julho a novembro",Peixe,Gurupi
Não,Peixe,Gurupi
Não,Peixe,Gurupi
"Sim, julho a novembro",Couto Magalhães,Colinas
Não,Monte Santo do Tocantins,Paraiso
Não,Talismã,Gurupi
Não,Paranã,Taguatinga do Tocantins
Não,Paranã,Taguatinga do Tocantins
"Sim, julho a novembro",Filadélfia,Araguína
"Sim, julho a novembro",Almas,Taguatinga do Tocantins
"Sim, julho a novembro",Pium,Paraiso
"Sim, julho a novembro",Sítio Novo do Tocantins,Araguatins
"Sim, julho a novembro",Goiatins,Araguína
Não,Cristalândia,Paraiso
"Sim, o ano todo",Dianópolis,Taguatinga do Tocantins
"Sim, julho a novembro",Santa Rita do Tocantins,Gurupi
Não,Dianópolis,Taguatinga do Tocantins
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
Não,Nova Rosalândia,Paraiso
Não,Peixe,Gurupi
Não,Marianópolis do Tocantins,Paraiso
Não,Rio Sono,Miracema
Não,Jaú do Tocantins,Gurupi
"Sim, julho a novembro",Peixe,Gurupi
Não,Nova Rosalândia,Paraiso
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
Não,Luzinópolis,Araguatins
Não,Pium,Paraiso
"Sim, julho a novembro",Gurupi,Gurupi
Não,Palmeiras do Tocantins,Araguatins
"Sim, julho a novembro",Santa Rita do Tocantins,Gurupi
"Sim, julho a novembro",Paranã,Taguatinga do Tocantins
"Sim, julho a novembro",Filadélfia,Araguína
Não,Marianópolis do Tocantins,Paraiso
Não,Marianópolis do Tocantins,Paraiso
"Sim, julho a novembro",Gurupi,Gurupi
Não,Araguaçu,Gurupi
Não,Filadélfia,Araguína
Não,Santa Terezinha do Tocantins,Araguatins
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
Não,Filadélfia,Araguína
"Sim, julho a novembro",Paranã,Taguatinga do Tocantins
"Sim, julho a novembro",Filadélfia,Araguína
Não,Caseara,Paraiso
Não,Ananás,Araguatins
Não,Caseara,Paraiso
"Sim, julho a novembro",Filadélfia,Araguína
Não,Caseara,Paraiso
"Sim, julho a novembro",Pium,Paraiso
Não,Lagoa da Confusão,Paraiso
"Sim, julho a novembro",Rio Sono,Miracema
Não,Pium,Paraiso
Não,Divinópolis do Tocantins,Paraiso
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
Não,Barrolândia,Paraiso
Não,Rio Sono,Miracema
Não,Monte Santo do Tocantins,Paraiso
"Sim, julho a novembro",Chapada de Areia,Paraiso
Não,Cristalândia,Paraiso
"Sim, julho a novembro",Alvorada,Gurupi
Não,Nova Rosalândia,Paraiso
"Sim, julho a novembro",Gurupi,Gurupi
Não,Rio Sono,Miracema
Não,Paranã,Taguatinga do Tocantins
"Sim, o ano todo",Cristalândia,Paraiso
"Sim, julho a novembro",Pium,Paraiso
Não,dois Irmãos do Tocantins,Paraiso
Não,Miranorte,Miracema
"Sim, julho a novembro",Chapada da Natividade,Porto Nacional
"Sim, julho a novembro",Chapada da Natividade,Porto Nacional
"Sim, julho a novembro",Paranã,Taguatinga do Tocantins
Não,Cristalândia,Paraiso
Não,Rio dos Bois,Miracema
Não,Paranã,Taguatinga do Tocantins
Não,Paranã,Taguatinga do Tocantins
Não,Figueirópolis,Gurupi
Não,Nova Rosalândia,Paraiso
Não,Silvanópolis,Porto Nacional
"Sim, julho a novembro",Ipueiras,Porto Nacional
Não,Paranã,Taguatinga do Tocantins
Não,Araguaína,Araguína
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
"Sim, julho a novembro",Miracema do Tocantins,Miracema
Não,Lagoa da Confusão,Paraiso
Não,Ipueiras,Porto Nacional
"Sim, julho a novembro",Monte do Carmo,Porto Nacional
Não,Figueirópolis,Gurupi
"Sim, julho a novembro",Sítio Novo do Tocantins,Araguatins
Não,Rio dos Bois,Miracema
Não,darcinópolis,Araguatins
Não,Divinópolis do Tocantins,Paraiso
Não,Lagoa da Confusão,Paraiso
"Sim, julho a novembro",Paranã,Taguatinga do Tocantins
Não,Monte do Carmo,Porto Nacional
"Sim, julho a novembro",Crixás do Tocantins,Gurupi
Não,Rio dos Bois,Miracema
"Sim, julho a novembro",Novo Jardim,Taguatinga do Tocantins
AGOSTO OUTUBRO,Barrolândia,Paraiso
"Sim, o ano todo",São Salvador do Tocantins,Gurupi
"Sim, julho a novembro",Gurupi,Gurupi
Não,Dianópolis,Taguatinga do Tocantins
Não,Nova Rosalândia,Paraiso
"Sim, julho a novembro",Almas,Taguatinga do Tocantins
Não,Rio Sono,Miracema
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
Não,Divinópolis do Tocantins,Paraiso
Não,Pium,Paraiso
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
Não,Santa Fé do Araguaia,Araguína
Não,Silvanópolis,Porto Nacional
Não,Monte Santo do Tocantins,Paraiso
Não,Chapada de Areia,Paraiso
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
Não,Caseara,Paraiso
Não,Paranã,Taguatinga do Tocantins
Não,Gurupi,Gurupi
Não,Gurupi,Gurupi
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
Não,Dueré,Gurupi
"Sim, julho a novembro",Gurupi,Gurupi
"Sim, julho a novembro",Gurupi,Gurupi
Não,Alvorada,Gurupi
Não,Talismã,Gurupi
Não,Talismã,Gurupi
Não,Riachinho,Araguatins
Não,Cristalândia,Paraiso
Não,Almas,Taguatinga do Tocantins
"Sim, julho a novembro",Miranorte,Miracema
"Sim, julho a novembro",Paranã,Taguatinga do Tocantins
Não,Dueré,Gurupi
Não,Alvorada,Gurupi
"Sim, julho a novembro",Sucupira,Gurupi
Não,Talismã,Gurupi
Não,Paranã,Taguatinga do Tocantins
"Sim, julho a novembro",dois Irmãos do Tocantins,Paraiso
Não,Miranorte,Miracema
"Sim, julho a novembro",,
Não,Talismã,Gurupi
Não,Talismã,Gurupi
Não,Araguaçu,Gurupi
Não,Ipueiras,Porto Nacional
Não,Nova Rosalândia,Paraiso
"Sim, julho a novembro",Sucupira,Gurupi
Não,Talismã,Gurupi
"Sim, julho a novembro",Paraíso do Tocantins,Paraiso
"Sim, julho a novembro",Peixe,Gurupi
Não,Cristalândia,Paraiso
Não,Nova Rosalândia,Paraiso
"Sim, julho a novembro",Barrolândia,Paraiso
Não,Araguaçu,Gurupi
Não,Barrolândia,Paraiso
Não,Ananás,Araguatins
"Sim, julho a novembro",Rio da Conceição,Taguatinga do Tocantins
Não,Dianópolis,Taguatinga do Tocantins
"Sim, julho a novembro",Miracema do Tocantins,Miracema
"Sim, julho a novembro",Novo Jardim,Taguatinga do Tocantins
Não,Paraíso do Tocantins,Paraiso
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
"Sim, julho a novembro",Ipueiras,Porto Nacional
Não,Talismã,Gurupi
Não,Nova Rosalândia,Paraiso
"Sim, julho a novembro",Monte do Carmo,Porto Nacional
Não,Rio dos Bois,Miracema
Não,Miracema do Tocantins,Miracema
Não,Monte do Carmo,Porto Nacional
Não,Aragominas,Araguína
Não,Cristalândia,Paraiso
Não,Abreulândia,Paraiso
Não,Rio dos Bois,Miracema
"Sim, julho a novembro",Xambioá,Araguína
Setembro a novembro,Cristalândia,Paraiso
Não,Miranorte,Miracema
"Sim, julho a novembro",Silvanópolis,Porto Nacional
"Sim, julho a novembro",Paranã,Taguatinga do Tocantins
Não,Miracema do Tocantins,Miracema
Não,Monte do Carmo,Porto Nacional
Não,Caseara,Paraiso
Não,Cristalândia,Paraiso
"Sim, julho a novembro",Sítio Novo do Tocantins,Araguatins
"Sim, julho a novembro",Araguaçu,Gurupi
Não,Aurora do Tocantins,Taguatinga do Tocantins
Não,Lagoa da Confusão,Paraiso
Não,Cristalândia,Paraiso
"Sim, o ano todo",São Salvador do Tocantins,Gurupi
Não,Paranã,Taguatinga do Tocantins
"Sim, o ano todo",São Salvador do Tocantins,Gurupi
"Sim, julho a novembro",Fátima,Porto Nacional
Não,Alvorada,Gurupi
Não,Talismã,Gurupi
"Sim, julho a novembro",Marianópolis do Tocantins,Paraiso
"Sim, julho a novembro",Almas,Taguatinga do Tocantins
Não,Santa Fé do Araguaia,Araguína
Não,dois Irmãos do Tocantins,Paraiso
Não,Miranorte,Miracema
Não,Talismã,Gurupi
Não,Aliança do Tocantins,Gurupi
"Sim, julho a novembro",Sucupira,Gurupi
Não,Silvanópolis,Porto Nacional
Não,Luzinópolis,Araguatins
"Sim, julho a novembro",Monte Santo do Tocantins,Paraiso
Não,Caseara,Paraiso
Não,Muricilândia,Araguína
"Sim, julho a novembro",Araguanã,Araguína
Não,Santa Fé do Araguaia,Araguína
Não,Dueré,Gurupi
"Sim, julho a novembro",Santa Fé do Araguaia,Araguína
Não,Guaraí,Colinas
Não,Colméia,Colinas
Não,Muricilândia,Araguína
"Sim, julho a novembro",Abreulândia,Paraiso
Não,Araguanã,Araguína
Não,Jaú do Tocantins,Gurupi
Não,Marianópolis do Tocantins,Paraiso
"Sim, julho a novembro",Cachoeirinha,Araguatins
Não,Muricilândia,Araguína
Não,Riachinho,Araguatins
"Sim, julho a novembro",Araguaçu,Gurupi
"Sim, julho a novembro",Dianópolis,Taguatinga do Tocantins
Não,Colméia,Colinas
Não,Colméia,Colinas
"Sim, julho a novembro",Wanderlândia,Araguína
Não,Chapada de Areia,Paraiso
Não,Riachinho,Araguatins
Não,Riachinho,Araguatins
Não,Riachinho,Araguatins
Não,Miranorte,Miracema
Não,Pium,Paraiso
"Sim, o ano todo",Miranorte,Miracema
Não,Miranorte,Miracema
Não,Barrolândia,Paraiso
Não,Araguaína,Araguína
Não,Araguaína,Araguína
"Sim, julho a novembro",Paranã,Taguatinga do Tocantins
"Sim, julho a novembro",dois Irmãos do Tocantins,Paraiso
AGOSTO A OUTUBRO,Caseara,Paraiso
Não,Santa Fé do Araguaia,Araguína
Não,Xambioá,Araguína
Não,Luzinópolis,Araguatins
"Sim, julho a novembro",Aliança do Tocantins,Gurupi
